check	type	field	expected	source	line	status
sizeof	bdHashMap<bdAddrHandleHashmapWrapper, bdReference<bdConnection>, bdAddrHandleHashmapWrapper>		0x18	src\bd\bdHashMap.h	219	COMPILE_ASSERT_PRESENT
sizeof	bdLogChannelMap		0x18	src\bd\bdLog.cpp	40	COMPILE_ASSERT_PRESENT
sizeof	bdLogChannelMapNode		0x0C	src\bd\bdLog.cpp	41	COMPILE_ASSERT_PRESENT
sizeof	bdLogChannel		0x28	src\bd\bdLog.cpp	72	COMPILE_ASSERT_PRESENT
sizeof	bdSingletonRegistryImpl		0x14	src\bd\bdLog.cpp	373	COMPILE_ASSERT_PRESENT
sizeof	bdMallocMemory::bdMemoryChainElement		0x14	src\bd\bdMemory\bdMallocMemory.h	39	COMPILE_ASSERT_PRESENT
sizeof	bdNetStartParams		0x2C	src\bd\bdNet.h	43	COMPILE_ASSERT_PRESENT
sizeof	bdNetImpl		0x90	src\bd\bdNet.h	90	COMPILE_ASSERT_PRESENT
sizeof	XNQOSINFO		0x18	src\bd\bdQoSProbe.cpp	62	COMPILE_ASSERT_PRESENT
sizeof	bdQoSRemoteAddr		0x1C	src\bd\bdQoSProbe.h	29	COMPILE_ASSERT_PRESENT
sizeof	bdQoSProbeInfo		0x24	src\bd\bdQoSProbe.h	51	COMPILE_ASSERT_PRESENT
sizeof	bdQoSProbe		0x18	src\bd\bdQoSProbe.h	76	COMPILE_ASSERT_PRESENT
sizeof	bdPeerData		0x08	src\bd\bdSession.h	62	COMPILE_ASSERT_PRESENT
sizeof	bdSession		0x98	src\bd\bdSession.h	160	COMPILE_ASSERT_PRESENT
sizeof	bdSocketRouter		0x2C	src\bd\bdSocketRouter.h	55	COMPILE_ASSERT_PRESENT
sizeof	bdStopwatch		0x10	src\bd\bdStopwatch.h	24	COMPILE_ASSERT_PRESENT
sizeof	bdShortTimer		4	src\bd\bdTiming\bdShortTimer.h	42	COMPILE_ASSERT_PRESENT
sizeof	bdUnicastConnection		0x138	src\bd\bdUnicastConnection.h	153	COMPILE_ASSERT_PRESENT
sizeof	Level		0x0C	src\broc\mp_anim_wad.h	27	COMPILE_ASSERT_PRESENT
sizeof	Anim		0x08	src\broc\mp_anim_wad.h	28	COMPILE_ASSERT_PRESENT
sizeof	Level		0x234	src\broc\mp_level.cpp	117	COMPILE_ASSERT_PRESENT
sizeof	Anim		0x08	src\broc\mp_level.cpp	118	COMPILE_ASSERT_PRESENT
sizeof	Level		0x0C	src\broc\mp_util_wad.h	15	COMPILE_ASSERT_PRESENT
sizeof	Anim		0x08	src\broc\mp_util_wad.h	16	COMPILE_ASSERT_PRESENT
sizeof	LocalFields		0x14	src\broc\mp_util_wad.h	76	COMPILE_ASSERT_PRESENT
sizeof	Level		0x230	src\broc\mp_util_wad.h	186	COMPILE_ASSERT_PRESENT
sizeof	Anim		0x08	src\broc\mp_util_wad.h	191	COMPILE_ASSERT_PRESENT
sizeof	cdl_cinfo1		0x20	src\core\cdl_types.h	19	COMPILE_ASSERT_PRESENT
sizeof	cdlConvex_vtbl		0x24	src\core\cdl_types.h	34	COMPILE_ASSERT_PRESENT
sizeof	cdlVirtual		0x04	src\core\cdl_types.h	42	COMPILE_ASSERT_PRESENT
sizeof	cdlConvex		0x30	src\core\cdl_types.h	87	COMPILE_ASSERT_PRESENT
offsetof	cdlConvex	__vftable	0x00	src\core\cdl_types.h	88	COMPILE_ASSERT_PRESENT
