object	checklist_file	inventory_file	plan_file	manifest_rows	verified	port_status_only	external	in_progress	unresolved_engine	untracked
bdHMacSHA1.obj	analysis/bdHMacSHA1_obj_checklist.tsv	analysis/bdHMacSHA1_obj_inventory.tsv	analysis/bdHMacSHA1_obj_plan.tsv	9	0	9	0	0	0	0
bdHeartbeatAckChunk.obj	analysis/bdHeartbeatAckChunk_obj_checklist.tsv	analysis/bdHeartbeatAckChunk_obj_inventory.tsv	analysis/bdHeartbeatAckChunk_obj_plan.tsv	8	6	2	0	0	0	0
bdHeartbeatChunk.obj	analysis/bdHeartbeatChunk_obj_checklist.tsv	analysis/bdHeartbeatChunk_obj_inventory.tsv	analysis/bdHeartbeatChunk_obj_plan.tsv	8	6	2	0	0	0	0
bdInAddr.obj	analysis/bdInAddr_obj_checklist.tsv	analysis/bdInAddr_obj_inventory.tsv	analysis/bdInAddr_obj_plan.tsv	5	1	4	0	0	0	0
bdInetAddr.obj	analysis/bdInetAddr_obj_checklist.tsv	analysis/bdInetAddr_obj_inventory.tsv	analysis/bdInetAddr_obj_plan.tsv	25	16	9	0	0	0	0
bdInitAckChunk.obj	analysis/bdInitAckChunk_obj_checklist.tsv	analysis/bdInitAckChunk_obj_inventory.tsv	analysis/bdInitAckChunk_obj_plan.tsv	15	9	6	0	0	0	0
bdInitChunk.obj	analysis/bdInitChunk_obj_checklist.tsv	analysis/bdInitChunk_obj_inventory.tsv	analysis/bdInitChunk_obj_plan.tsv	11	10	1	0	0	0	0
bdLog.obj	analysis/bdLog_obj_checklist.tsv	analysis/bdLog_obj_inventory.tsv	analysis/bdLog_obj_plan.tsv	15	1	14	0	0	0	0
bdLogChannel.obj	analysis/bdLogChannel_obj_checklist.tsv	analysis/bdLogChannel_obj_inventory.tsv	analysis/bdLogChannel_obj_plan.tsv	48	1	47	0	0	0	0
bdLogSubscriber.obj	analysis/bdLogSubscriber_obj_checklist.tsv	analysis/bdLogSubscriber_obj_inventory.tsv	analysis/bdLogSubscriber_obj_plan.tsv	5	4	1	0	0	0	0
bdLoopbackConnection.obj	analysis/bdLoopbackConnection_obj_checklist.tsv	analysis/bdLoopbackConnection_obj_inventory.tsv	analysis/bdLoopbackConnection_obj_plan.tsv	37	18	19	0	0	0	0
bdMallocMemory.obj	analysis/bdMallocMemory_obj_checklist.tsv	analysis/bdMallocMemory_obj_inventory.tsv	analysis/bdMallocMemory_obj_plan.tsv	6	3	3	0	0	0	0
bdMemory.obj	analysis/bdMemory_obj_checklist.tsv	analysis/bdMemory_obj_inventory.tsv	analysis/bdMemory_obj_plan.tsv	23	0	23	0	0	0	0
bdMessage.obj	analysis/bdMessage_obj_checklist.tsv	analysis/bdMessage_obj_inventory.tsv	analysis/bdMessage_obj_plan.tsv	25	12	13	0	0	0	0
bdMutex.obj	analysis/bdMutex_obj_checklist.tsv	analysis/bdMutex_obj_inventory.tsv	analysis/bdMutex_obj_plan.tsv	4	4	0	0	0	0	0
bdNet-xbox.obj	analysis/bdNet-xbox_obj_checklist.tsv	analysis/bdNet-xbox_obj_inventory.tsv	analysis/bdNet-xbox_obj_plan.tsv	49	12	37	0	0	0	0
bdPacket.obj	analysis/bdPacket_obj_checklist.tsv	analysis/bdPacket_obj_inventory.tsv	analysis/bdPacket_obj_plan.tsv	32	9	23	0	0	0	0
bdPlatformMutex-xbox.obj	analysis/bdPlatformMutex-xbox_obj_checklist.tsv	analysis/bdPlatformMutex-xbox_obj_inventory.tsv	analysis/bdPlatformMutex-xbox_obj_plan.tsv	4	0	4	0	0	0	0
