source_cpp	lib	obj	class	funcs	status	notes
render_xboxr:cdDynamicDecalShader.o	render_xboxr	cdDynamicDecalShader.o	engine	6	PORTED	cdDynamicDecalShader.h/.cpp (dynamic decal shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdGunSightSpecularShader.o	render_xboxr	cdGunSightSpecularShader.o	engine	6	PORTED	cdGunSightSpecularShader.h/.cpp (gun sight specular: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdGunSightShader.o	render_xboxr	cdGunSightShader.o	engine	6	PORTED	cdGunSightShader.h/.cpp (gun sight shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdGunShader.o	render_xboxr	cdGunShader.o	engine	6	PORTED	cdGunShader.h/.cpp (gun shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdPropellerShader.o	render_xboxr	cdPropellerShader.o	engine	6	PORTED	cdPropellerShader.h/.cpp (propeller shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdDecalShader.o	render_xboxr	cdDecalShader.o	engine	6	PORTED	cdDecalShader.h/.cpp (decal shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred) + fix Toggle bit-preserve expr in 3 prior shaders
render_xboxr:cdSimplePrelitShader.o	render_xboxr	cdSimplePrelitShader.o	engine	6	PORTED	cdSimplePrelitShader.h/.cpp (simple prelit shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdSimpleShader.o	render_xboxr	cdSimpleShader.o	engine	6	PORTED	cdSimpleShader.h/.cpp (simple shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdWaterShader.o	render_xboxr	cdWaterShader.o	engine	6	PORTED	cdWaterShader.h/.cpp (water shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdWorldVertexLitShader.o	render_xboxr	cdWorldVertexLitShader.o	engine	6	PORTED	cdWorldVertexLitShader.h/.cpp (world vertex lit: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdBackgroundShader.o	render_xboxr	cdBackgroundShader.o	engine	6	PORTED	cdBackgroundShader.h/.cpp (background shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
aeps_xboxr:apsRegister.o	aeps_xboxr	apsRegister.o	engine	6	PORTED	apsRegister.cpp (registry: GetNewSimpleMesh/ShrimpRenderer, apsGetRenderer/apsGetDomain/apsGetAction dispatch + fixup-table build, apsLoadEffectInplace; apsParam ops, GetEnum, Create*Domain, GetNew*Renderer, template domains, RetrieveVtable COMDATs)
aeps_xboxr:apsBillboardRenderer.o	aeps_xboxr	apsBillboardRenderer.o	engine	6	PORTED	apsBillboardRenderer.h/.cpp (billboard renderer + node + DefaultRender template + apsLight::LightInfo)
nvl_xboxr:nvl_xbox.o	nvl_xboxr	nvl_xbox.o	engine	6	PORTED	Phase 2: nvl.cpp (video codec stubs)
bdCore:bdSecurityKey-xbox.obj	bdCore	bdSecurityKey-xbox.obj	engine	6	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdCore:bdLogChannel.obj	bdCore	bdLogChannel.obj	engine	6	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdConnection:bdReliableReceiveWindow.obj	bdConnection	bdReliableReceiveWindow.obj	engine	6	TODO	
bdConnection:bdCookieAckChunk.obj	bdConnection	bdCookieAckChunk.obj	engine	6	TODO	
bdConnection:bdHeartbeatChunk.obj	bdConnection	bdHeartbeatChunk.obj	engine	6	TODO	
bdConnection:bdHeartbeatAckChunk.obj	bdConnection	bdHeartbeatAckChunk.obj	engine	6	TODO	
bdConnection:bdShutdownChunk.obj	bdConnection	bdShutdownChunk.obj	engine	6	TODO	
bdConnection:bdShutdownAckChunk.obj	bdConnection	bdShutdownAckChunk.obj	engine	6	TODO	
bdConnection:bdShutdownCompleteChunk.obj	bdConnection	bdShutdownCompleteChunk.obj	engine	6	TODO	
render_xboxr:cdCharSpecularShader.o	render_xboxr	cdCharSpecularShader.o	engine	5	PORTED	cdCharSpecularShader.h/.cpp (char specular shader: Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdCharShader.o	render_xboxr	cdCharShader.o	engine	5	PORTED	cdCharShader.h/.cpp (char shader: Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdPrelitShader.o	render_xboxr	cdPrelitShader.o	engine	5	PORTED	cdPrelitShader.h/.cpp (prelit shader: Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdAirplaneMetalShader.o	render_xboxr	cdAirplaneMetalShader.o	engine	5	PORTED	cdAirplaneMetalShader.h/.cpp (airplane metal shader: Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdWorldBlendPointLitShader.o	render_xboxr	cdWorldBlendPointLitShader.o	engine	5	PORTED	cdWorldBlendPointLitShader.h/.cpp (world blend point lit: Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdWorldPointLitShader.o	render_xboxr	cdWorldPointLitShader.o	engine	5	PORTED	cdWorldPointLitShader.h/.cpp (world point lit: Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdWorldBlendShader.o	render_xboxr	cdWorldBlendShader.o	engine	5	PORTED	cdWorldBlendShader.h/.cpp (world blend: Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdWorldShader.o	render_xboxr	cdWorldShader.o	engine	5	PORTED	cdWorldShader.h/.cpp (world shader: Init/Toggle/Register/AddNode; Render deferred)
zlib_xboxr:trees.o	zlib_xboxr	trees.o	engine	5	TODO	
